VideoID         Startup Time    Deadline Miss Rate       

0               2180.00         0.0000                   

1               7593.00         0.0000                   

2               4124.00         0.0000                   

3               1878.00         0.0000                   

4               4121.00         0.1579                   

5               7536.00         0.1053                   

6               9636.00         0.2500                   

7               6548.00         0.2045                   

8               4040.00         0.4878                   

9               2615.00         0.1250                   

10              1656.00         0.1818                   

11              9287.10         0.1455                   

12              5852.10         0.2963                   

13              6407.10         0.0000                   

14              8678.00         0.0000                   

15              1813.10         0.1124                   

17              1370.00         0.4255                   

16              705.10          0.0000                   

19              557.00          0.0000                   

18              2574.00         0.0000                   

21              2450.10         0.0000                   

20              1275.10         0.0000                   

23              1450.10         0.6667                   

22              2982.10         0.0000                   

25              10886.10        0.1852                   

24              14346.10        0.0000                   

27              4969.10         0.0000                   

26              6860.10         0.1613                   

29              2264.10         0.0000                   

28              1658.10         0.0000                   

31              4230.10         0.1429                   

30              2492.10         0.0000                   

34              816.10          0.4340                   

35              443.10          0.4595                   

32              8047.10         0.0000                   

33              1898.10         0.2468                   

38              2904.10         0.5938                   

39              26163.10        0.2727                   

36              1415.10         0.5500                   

37              1016.10         0.5500                   

42              13118.10        0.0000                   

43              10900.10        0.0000                   

40              22015.10        0.0000                   

41              17446.10        0.1220                   

46              903.10          0.0000                   

47              315.10          0.1000                   

44              6706.10         0.0000                   

45              1973.10         0.0000                   

49              1317.10         0.1667                   

48              1328.10         0.3000                   

