Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               600                      0               4178676         563834          

320X180         2               584                      5000            3899152         537303          

320X180         3               531                      10000           3943378         345546          

320X180         4               661                      15000           3931327         1006892         

320X180         5               573                      20000           3888540         697202          

320X180         6               402                      25000           2985066         264797          

320X180         7               567                      30000           3967941         479092          

320X180         8               523                      35000           3921761         423439          

320X180         9               437                      40000           3083184         368987          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               586                      0               4178676         563834          

320X180         2               574                      5000            3899152         537303          

320X180         3               522                      10000           3943378         345546          

320X180         4               664                      15000           3931327         1006892         

320X180         5               583                      20000           3888540         697202          

320X180         6               405                      25000           2985066         264797          

320X180         7               558                      30000           3967941         479092          

320X180         8               504                      35000           3921761         423439          

320X180         9               440                      40000           3083184         368987          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               599                      0               4178676         563834          

320X180         2               581                      5000            3899152         537303          

320X180         3               532                      10000           3943378         345546          

320X180         4               675                      15000           3931327         1006892         

320X180         5               570                      20000           3888540         697202          

320X180         6               391                      25000           2985066         264797          

320X180         7               558                      30000           3967941         479092          

320X180         8               509                      35000           3921761         423439          

320X180         9               438                      40000           3083184         368987          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               582                      0               4178676         563834          

320X180         2               576                      5000            3899152         537303          

320X180         3               515                      10000           3943378         345546          

320X180         4               657                      15000           3931327         1006892         

320X180         5               567                      20000           3888540         697202          

320X180         6               395                      25000           2985066         264797          

320X180         7               568                      30000           3967941         479092          

320X180         8               630                      35000           3921761         423439          

320X180         9               735                      40000           3083184         368987          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               587                      0               4178676         563834          

320X180         2               578                      5000            3899152         537303          

320X180         3               518                      10000           3943378         345546          

320X180         4               671                      15000           3931327         1006892         

320X180         5               585                      20000           3888540         697202          

320X180         6               410                      25000           2985066         264797          

320X180         7               577                      30000           3967941         479092          

320X180         8               519                      35000           3921761         423439          

320X180         9               440                      40000           3083184         368987          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               610                      0               4178676         563834          

320X180         2               587                      5000            3899152         537303          

320X180         3               533                      10000           3943378         345546          

320X180         4               676                      15000           3931327         1006892         

320X180         5               579                      20000           3888540         697202          

320X180         6               409                      25000           2985066         264797          

320X180         7               566                      30000           3967941         479092          

320X180         8               520                      35000           3921761         423439          

320X180         9               445                      40000           3083184         368987          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               605                      0               4178676         563834          

320X180         2               590                      5000            3899152         537303          

320X180         3               532                      10000           3943378         345546          

320X180         4               671                      15000           3931327         1006892         

320X180         5               565                      20000           3888540         697202          

320X180         6               402                      25000           2985066         264797          

320X180         7               562                      30000           3967941         479092          

320X180         8               524                      35000           3921761         423439          

320X180         9               452                      40000           3083184         368987          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               593                      0               4178676         563834          

320X180         2               574                      5000            3899152         537303          

320X180         3               524                      10000           3943378         345546          

320X180         4               661                      15000           3931327         1006892         

320X180         5               566                      20000           3888540         697202          

320X180         6               396                      25000           2985066         264797          

320X180         7               562                      30000           3967941         479092          

320X180         8               511                      35000           3921761         423439          

320X180         9               431                      40000           3083184         368987          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               585                      0               4178676         563834          

320X180         2               569                      5000            3899152         537303          

320X180         3               533                      10000           3943378         345546          

320X180         4               680                      15000           3931327         1006892         

320X180         5               566                      20000           3888540         697202          

320X180         6               394                      25000           2985066         264797          

320X180         7               566                      30000           3967941         479092          

320X180         8               516                      35000           3921761         423439          

320X180         9               443                      40000           3083184         368987          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               609                      0               4178676         563834          

320X180         2               572                      5000            3899152         537303          

320X180         3               519                      10000           3943378         345546          

320X180         4               665                      15000           3931327         1006892         

320X180         5               574                      20000           3888540         697202          

320X180         6               393                      25000           2985066         264797          

320X180         7               553                      30000           3967941         479092          

320X180         8               508                      35000           3921761         423439          

320X180         9               432                      40000           3083184         368987          

