Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               363                      0               1131070         1023503         

320X180         2               361                      12000           1437156         869493          

320X180         3               421                      24000           1878396         1369398         

320X180         4               298                      36000           744522          618732          

320X180         5               310                      48000           1062442         748040          

320X180         6               387                      60000           2285730         1155613         

320X180         7               351                      72000           1541178         930819          

320X180         8               371                      84000           1768825         1082804         

320X180         9               215                      96000           738282          564425          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               353                      0               1131070         1023503         

320X180         2               348                      12000           1437156         869493          

320X180         3               418                      24000           1878396         1369398         

320X180         4               297                      36000           744522          618732          

320X180         5               309                      48000           1062442         748040          

320X180         6               388                      60000           2285730         1155613         

320X180         7               348                      72000           1541178         930819          

320X180         8               371                      84000           1768825         1082804         

320X180         9               212                      96000           738282          564425          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               348                      0               1131070         1023503         

320X180         2               347                      12000           1437156         869493          

320X180         3               419                      24000           1878396         1369398         

320X180         4               379                      36000           744522          618732          

320X180         5               313                      48000           1062442         748040          

320X180         6               390                      60000           2285730         1155613         

320X180         7               347                      72000           1541178         930819          

320X180         8               369                      84000           1768825         1082804         

320X180         9               214                      96000           738282          564425          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               349                      0               1131070         1023503         

320X180         2               349                      12000           1437156         869493          

320X180         3               420                      24000           1878396         1369398         

320X180         4               288                      36000           744522          618732          

320X180         5               309                      48000           1062442         748040          

320X180         6               389                      60000           2285730         1155613         

320X180         7               350                      72000           1541178         930819          

320X180         8               594                      84000           1768825         1082804         

320X180         9               227                      96000           738282          564425          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               351                      0               1131070         1023503         

320X180         2               352                      12000           1437156         869493          

320X180         3               421                      24000           1878396         1369398         

320X180         4               288                      36000           744522          618732          

320X180         5               496                      48000           1062442         748040          

320X180         6               411                      60000           2285730         1155613         

320X180         7               352                      72000           1541178         930819          

320X180         8               374                      84000           1768825         1082804         

320X180         9               215                      96000           738282          564425          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               351                      0               1131070         1023503         

320X180         2               666                      12000           1437156         869493          

320X180         3               423                      24000           1878396         1369398         

320X180         4               286                      36000           744522          618732          

320X180         5               308                      48000           1062442         748040          

320X180         6               390                      60000           2285730         1155613         

320X180         7               351                      72000           1541178         930819          

320X180         8               373                      84000           1768825         1082804         

320X180         9               215                      96000           738282          564425          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               349                      0               1131070         1023503         

320X180         2               348                      12000           1437156         869493          

320X180         3               421                      24000           1878396         1369398         

320X180         4               286                      36000           744522          618732          

320X180         5               308                      48000           1062442         748040          

320X180         6               412                      60000           2285730         1155613         

320X180         7               350                      72000           1541178         930819          

320X180         8               372                      84000           1768825         1082804         

320X180         9               214                      96000           738282          564425          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               346                      0               1131070         1023503         

320X180         2               348                      12000           1437156         869493          

320X180         3               423                      24000           1878396         1369398         

320X180         4               286                      36000           744522          618732          

320X180         5               307                      48000           1062442         748040          

320X180         6               387                      60000           2285730         1155613         

320X180         7               351                      72000           1541178         930819          

320X180         8               374                      84000           1768825         1082804         

320X180         9               214                      96000           738282          564425          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               441                      0               1131070         1023503         

320X180         2               352                      12000           1437156         869493          

320X180         3               425                      24000           1878396         1369398         

320X180         4               290                      36000           744522          618732          

320X180         5               312                      48000           1062442         748040          

320X180         6               393                      60000           2285730         1155613         

320X180         7               353                      72000           1541178         930819          

320X180         8               377                      84000           1768825         1082804         

320X180         9               219                      96000           738282          564425          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               350                      0               1131070         1023503         

320X180         2               348                      12000           1437156         869493          

320X180         3               420                      24000           1878396         1369398         

320X180         4               286                      36000           744522          618732          

320X180         5               328                      48000           1062442         748040          

320X180         6               389                      60000           2285730         1155613         

320X180         7               351                      72000           1541178         930819          

320X180         8               372                      84000           1768825         1082804         

320X180         9               214                      96000           738282          564425          

