Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               2478                     0               3039612         1696132         

320X180         2               567                      9000            106311          505279          

320X180         3               641                      12000           869910          423247          

320X180         4               353                      14000           229217          389269          

320X180         5               440                      15000           580391          366078          

320X180         6               799                      16000           330577          792760          

320X180         7               982                      19000           698475          800281          

320X180         8               296                      24000           143448          206570          

320X180         9               319                      25000           386823          170108          

320X180         10              351                      27000           198863          399721          

320X180         11              819                      28000           1079178         720877          

320X180         12              806                      31000           1012956         826593          

320X180         13              1793                     33000           1086477         1785450         

320X180         14              565                      40000           519122          420386          

320X180         15              418                      43000           523607          147331          

320X180         16              971                      46000           1034050         866018          

320X180         17              536                      49000           191773          465805          

320X180         18              2169                     52000           1388117         1693643         

320X180         19              475                      62000           779097          325819          

320X180         20              2472                     63000           2074580         3007596         

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               2318                     0               3039612         1696132         

320X180         2               584                      9000            106311          505279          

320X180         3               804                      12000           869910          423247          

320X180         4               487                      14000           229217          389269          

320X180         5               474                      15000           580391          366078          

320X180         6               855                      16000           330577          792760          

320X180         7               1039                     19000           698475          800281          

320X180         8               318                      24000           143448          206570          

320X180         9               337                      25000           386823          170108          

320X180         10              374                      27000           198863          399721          

320X180         11              871                      28000           1079178         720877          

320X180         12              853                      31000           1012956         826593          

320X180         13              1869                     33000           1086477         1785450         

320X180         14              579                      40000           519122          420386          

320X180         15              432                      43000           523607          147331          

320X180         16              1018                     46000           1034050         866018          

320X180         17              534                      49000           191773          465805          

320X180         18              2155                     52000           1388117         1693643         

320X180         19              448                      62000           779097          325819          

320X180         20              2387                     63000           2074580         3007596         

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               2289                     0               3039612         1696132         

320X180         2               572                      9000            106311          505279          

320X180         3               645                      12000           869910          423247          

320X180         4               363                      14000           229217          389269          

320X180         5               454                      15000           580391          366078          

320X180         6               840                      16000           330577          792760          

320X180         7               1016                     19000           698475          800281          

320X180         8               313                      24000           143448          206570          

320X180         9               335                      25000           386823          170108          

320X180         10              358                      27000           198863          399721          

320X180         11              842                      28000           1079178         720877          

320X180         12              825                      31000           1012956         826593          

320X180         13              1821                     33000           1086477         1785450         

320X180         14              575                      40000           519122          420386          

320X180         15              423                      43000           523607          147331          

320X180         16              979                      46000           1034050         866018          

320X180         17              531                      49000           191773          465805          

320X180         18              2109                     52000           1388117         1693643         

320X180         19              448                      62000           779097          325819          

320X180         20              2455                     63000           2074580         3007596         

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               2345                     0               3039612         1696132         

320X180         2               581                      9000            106311          505279          

320X180         3               659                      12000           869910          423247          

320X180         4               365                      14000           229217          389269          

