Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               180                      0               583437          161872          

320X180         2               319                      1000            287397          291988          

320X180         3               288                      5000            497980          254598          

320X180         4               661                      8000            1255763         723963          

320X180         5               136                      14000           177287          120033          

320X180         6               178                      16000           149504          179857          

320X180         7               269                      18000           660657          272387          

320X180         8               956                      20000           2854946         1104821         

320X180         9               932                      24000           1450513         953844          

320X180         10              172                      34000           342982          131922          

320X180         11              636                      36000           643656          589724          

320X180         12              371                      44000           497280          444382          

320X180         13              822                      48000           1381017         799252          

320X180         14              572                      57000           1012388         647669          

320X180         15              453                      62000           1054952         659224          

320X180         16              310                      65000           642743          357638          

320X180         17              325                      68000           558540          310687          

320X180         18              1005                     71000           1815247         1196879         

320X180         19              1019                     81000           1952120         1142614         

320X180         20              202                      91000           210778          207599          

320X180         21              693                      94000           1339076         920864          

320X180         22              305                      101000          204333          333403          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               174                      0               583437          161872          

320X180         2               326                      1000            287397          291988          

320X180         3               284                      5000            497980          254598          

320X180         4               724                      8000            1255763         723963          

320X180         5               135                      14000           177287          120033          

320X180         6               178                      16000           149504          179857          

320X180         7               271                      18000           660657          272387          

320X180         8               954                      20000           2854946         1104821         

320X180         9               905                      24000           1450513         953844          

320X180         10              168                      34000           342982          131922          

320X180         11              610                      36000           643656          589724          

320X180         12              375                      44000           497280          444382          

320X180         13              811                      48000           1381017         799252          

320X180         14              557                      57000           1012388         647669          

320X180         15              436                      62000           1054952         659224          

320X180         16              303                      65000           642743          357638          

320X180         17              320                      68000           558540          310687          

320X180         18              1012                     71000           1815247         1196879         

320X180         19              1018                     81000           1952120         1142614         

320X180         20              204                      91000           210778          207599          

320X180         21              698                      94000           1339076         920864          

320X180         22              302                      101000          204333          333403          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               172                      0               583437          161872          

320X180         2               320                      1000            287397          291988          

320X180         3               284                      5000            497980          254598          

320X180         4               652                      8000            1255763         723963          

320X180         5               135                      14000           177287          120033          

320X180         6               179                      16000           149504          179857          

320X180         7               272                      18000           660657          272387          

320X180         8               941                      20000           2854946         1104821         

320X180         9               885                      24000           1450513         953844          

320X180         10              162                      34000           342982          131922          

320X180         11              814                      36000           643656          589724          

320X180         12              518                      44000           497280          444382          

320X180         13              811                      48000           1381017         799252          

320X180         14              556                      57000           1012388         647669          

320X180         15              437                      62000           1054952         659224          

