Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               673                      0               1099898         37577           

320X180         2               1375                     2000            1281439         86451           

320X180         3               4859                     4000            4648663         276215          

320X180         4               1153                     14000           1070795         77719           

320X180         5               7103                     15000           3616322         276077          

320X180         6               907                      23000           563989          29380           

320X180         7               1160                     24000           907897          50486           

320X180         8               1424                     25000           864916          57026           

320X180         9               956                      27000           595509          40632           

320X180         10              1098                     29000           916189          44084           

320X180         11              648                      30000           428918          23311           

320X180         12              1419                     31000           1029623         61892           

320X180         13              1220                     33000           798010          38484           

320X180         14              1169                     35000           849726          49718           

320X180         15              1008                     36000           819409          44065           

320X180         16              2410                     38000           2151704         105364          

320X180         17              4237                     42000           2993833         229596          

320X180         18              1215                     48000           967823          59448           

320X180         19              1246                     50000           951511          62301           

320X180         20              1349                     51000           850616          54782           

320X180         21              2320                     53000           1571558         80141           

320X180         22              2824                     56000           2372195         129187          

320X180         23              2341                     64000           2100917         145023          

320X180         24              1268                     67000           759719          79818           

320X180         25              1498                     69000           1149257         78376           

320X180         26              597                      71000           8556            30734           

320X180         27              1657                     72000           2641458         70839           

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               705                      0               1099898         37577           

320X180         2               1432                     2000            1281439         86451           

320X180         3               4874                     4000            4648663         276215          

320X180         4               1109                     14000           1070795         77719           

320X180         5               7195                     15000           3616322         276077          

320X180         6               918                      23000           563989          29380           

320X180         7               1178                     24000           907897          50486           

320X180         8               1428                     25000           864916          57026           

320X180         9               962                      27000           595509          40632           

320X180         10              1079                     29000           916189          44084           

320X180         11              647                      30000           428918          23311           

320X180         12              1407                     31000           1029623         61892           

320X180         13              1196                     33000           798010          38484           

320X180         14              1155                     35000           849726          49718           

320X180         15              990                      36000           819409          44065           

320X180         16              2359                     38000           2151704         105364          

320X180         17              4269                     42000           2993833         229596          

320X180         18              1184                     48000           967823          59448           

320X180         19              1239                     50000           951511          62301           

320X180         20              1307                     51000           850616          54782           

320X180         21              2083                     53000           1571558         80141           

320X180         22              2616                     56000           2372195         129187          

320X180         23              2221                     64000           2100917         145023          

320X180         24              1241                     67000           759719          79818           

320X180         25              1474                     69000           1149257         78376           

320X180         26              600                      71000           8556            30734           

320X180         27              1709                     72000           2641458         70839           

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               804                      0               1099898         37577           

320X180         2               1431                     2000            1281439         86451           

320X180         3               4986                     4000            4648663         276215          

320X180         4               1149                     14000           1070795         77719           

320X180         5               7067                     15000           3616322         276077          

320X180         6               910                      23000           563989          29380           

320X180         7               1118                     24000           907897          50486           

320X180         8               1371                     25000           864916          57026           

320X180         9               937                      27000           595509          40632           

320X180         10              1045                     29000           916189          44084           

320X180         11              623                      30000           428918          23311           

320X180         12              1385                     31000           1029623         61892           

320X180         13              1188                     33000           798010          38484           

320X180         14              1159                     35000           849726          49718           

320X180         15              1009                     36000           819409          44065           

320X180         16              2342                     38000           2151704         105364          

320X180         17              4169                     42000           2993833         229596          

320X180         18              1182                     48000           967823          59448           

320X180         19              1259                     50000           951511          62301           

320X180         20              1354                     51000           850616          54782           

320X180         21              2136                     53000           1571558         80141           

320X180         22              2614                     56000           2372195         129187          

320X180         23              2211                     64000           2100917         145023          

320X180         24              1219                     67000           759719          79818           

320X180         25              1482                     69000           1149257         78376           

320X180         26              617                      71000           8556            30734           

320X180         27              1663                     72000           2641458         70839           

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               669                      0               1099898         37577           

320X180         2               1358                     2000            1281439         86451           

320X180         3               4888                     4000            4648663         276215          

320X180         4               1104                     14000           1070795         77719           

320X180         5               7314                     15000           3616322         276077          

320X180         6               926                      23000           563989          29380           

320X180         7               1133                     24000           907897          50486           

320X180         8               1384                     25000           864916          57026           

320X180         9               943                      27000           595509          40632           

320X180         10              1066                     29000           916189          44084           

320X180         11              640                      30000           428918          23311           

320X180         12              1399                     31000           1029623         61892           

320X180         13              1164                     33000           798010          38484           

320X180         14              1137                     35000           849726          49718           

320X180         15              981                      36000           819409          44065           

320X180         16              2314                     38000           2151704         105364          

320X180         17              4102                     42000           2993833         229596          

320X180         18              1167                     48000           967823          59448           

320X180         19              1227                     50000           951511          62301           

320X180         20              1305                     51000           850616          54782           

320X180         21              2067                     53000           1571558         80141           

