Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               7                        0               2830536         0               

320X180         2               10                       330000          622432          0               

320X180         3               222                      330000          3100608         167603          

320X180         4               231                      331000          2956376         121216          

320X180         5               244                      332000          3156352         95110           

320X180         6               233                      332000          3054816         97381           

320X180         7               219                      333000          2879232         102223          

320X180         8               49                       334000          882440          19831           

320X180         9               236                      334000          2941976         176336          

320X180         10              234                      334000          3027088         152146          

320X180         11              240                      335000          3023032         141699          

320X180         12              233                      336000          2990104         131149          

320X180         13              220                      336000          2970976         114561          

320X180         14              225                      337000          3050744         137819          

320X180         15              188                      337000          2543984         117788          

320X180         16              216                      338000          2901696         61848           

320X180         17              223                      339000          3087424         61387           

320X180         18              94                       339000          1232272         30141           

320X180         19              202                      339000          2487984         54552           

320X180         20              185                      340000          2028896         46192           

320X180         21              184                      341000          2119992         48366           

320X180         22              188                      341000          2335136         53109           

320X180         23              195                      342000          2507400         55393           

320X180         24              208                      343000          2769128         69286           

320X180         25              205                      343000          2735880         74050           

320X180         26              207                      344000          2710896         70221           

320X180         27              222                      344000          2943832         102259          

320X180         28              242                      345000          3068672         113717          

320X180         29              277                      346000          3050232         117454          

320X180         30              548                      346000          3070840         115079          

320X180         31              410                      347000          3027984         100560          

320X180         32              226                      348000          3109320         106729          

320X180         33              226                      348000          2999344         102997          

320X180         34              233                      349000          2951200         100712          

320X180         35              216                      349000          2904064         83223           

320X180         36              201                      350000          2831616         63616           

320X180         37              230                      351000          2983016         66483           

320X180         38              224                      351000          2963768         61701           

320X180         39              217                      352000          3026024         79360           

320X180         40              213                      353000          3017080         79988           

320X180         41              223                      353000          3141600         98756           

320X180         42              215                      354000          2959688         83358           

320X180         43              215                      354000          2972896         86155           

320X180         44              220                      355000          3014784         98027           

320X180         45              212                      356000          3040528         118196          

320X180         46              73                       356000          1086024         30492           

320X180         47              181                      357000          2684520         46474           

320X180         48              187                      357000          2596240         51032           

320X180         49              180                      358000          2614736         38954           

320X180         50              181                      358000          2618840         39363           

320X180         51              173                      359000          2618856         39785           

320X180         52              182                      360000          2624664         52316           

320X180         53              184                      360000          2627392         40153           

320X180         54              176                      361000          2624376         40429           

320X180         55              188                      362000          2624184         40866           

320X180         56              106                      362000          1332672         29259           

320X180         57              138                      363000          1517184         34145           

320X180         58              130                      363000          1328584         38596           

320X180         59              122                      364000          1312896         37613           

320X180         60              126                      364000          1343736         39977           

320X180         61              131                      365000          1435736         40136           

320X180         62              126                      366000          1384928         41510           

320X180         63              129                      366000          1376664         37894           

320X180         64              53                       367000          626640          15110           

320X180         65              165                      367000          2094928         42508           

320X180         66              157                      368000          1855808         36310           

320X180         67              88                       368000          1141600         22723           

320X180         68              147                      369000          1741704         45408           

320X180         69              137                      369000          1571648         49116           

320X180         70              142                      370000          1635792         47893           

320X180         71              133                      371000          1666824         48082           

320X180         72              143                      371000          1759200         53859           

320X180         73              133                      372000          1601712         46716           

320X180         74              126                      373000          1493128         49167           

320X180         75              141                      373000          1799592         56585           

320X180         76              199                      374000          2851832         76976           

320X180         77              214                      374000          2983448         65742           

320X180         78              206                      375000          2917440         60543           

320X180         79              214                      376000          2918440         63606           

320X180         80              171                      376000          2136176         51717           

320X180         81              109                      377000          1018264         37289           

320X180         82              128                      377000          1217608         38458           

320X180         83              116                      378000          1148272         39219           

320X180         84              115                      379000          1022784         38567           

320X180         85              114                      379000          927104          32818           

