Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               558                      0               137231          68330           

320X180         2               393                      5000            455165          240825          

320X180         3               1870                     7000            1177364         1764571         

320X180         4               469                      13000           375538          369099          

320X180         5               1340                     14000           843325          1412917         

320X180         6               990                      17000           1326349         866771          

320X180         7               646                      20000           364347          806238          

320X180         8               410                      21000           268786          303926          

320X180         9               387                      23000           457276          280841          

320X180         10              266                      24000           55503           171382          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               537                      0               137231          68330           

320X180         2               395                      5000            455165          240825          

320X180         3               1868                     7000            1177364         1764571         

320X180         4               465                      13000           375538          369099          

320X180         5               1345                     14000           843325          1412917         

320X180         6               1001                     17000           1326349         866771          

320X180         7               629                      20000           364347          806238          

320X180         8               412                      21000           268786          303926          

320X180         9               390                      23000           457276          280841          

320X180         10              266                      24000           55503           171382          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               533                      0               137231          68330           

320X180         2               393                      5000            455165          240825          

320X180         3               1853                     7000            1177364         1764571         

320X180         4               463                      13000           375538          369099          

320X180         5               1346                     14000           843325          1412917         

320X180         6               993                      17000           1326349         866771          

320X180         7               636                      20000           364347          806238          

320X180         8               408                      21000           268786          303926          

320X180         9               384                      23000           457276          280841          

320X180         10              309                      24000           55503           171382          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               563                      0               137231          68330           

320X180         2               400                      5000            455165          240825          

320X180         3               1878                     7000            1177364         1764571         

320X180         4               459                      13000           375538          369099          

320X180         5               1352                     14000           843325          1412917         

320X180         6               997                      17000           1326349         866771          

320X180         7               641                      20000           364347          806238          

320X180         8               411                      21000           268786          303926          

320X180         9               391                      23000           457276          280841          

320X180         10              265                      24000           55503           171382          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               529                      0               137231          68330           

320X180         2               396                      5000            455165          240825          

320X180         3               1869                     7000            1177364         1764571         

320X180         4               462                      13000           375538          369099          

320X180         5               1341                     14000           843325          1412917         

320X180         6               989                      17000           1326349         866771          

320X180         7               631                      20000           364347          806238          

320X180         8               411                      21000           268786          303926          

320X180         9               391                      23000           457276          280841          

320X180         10              263                      24000           55503           171382          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               537                      0               137231          68330           

320X180         2               392                      5000            455165          240825          

320X180         3               1864                     7000            1177364         1764571         

320X180         4               461                      13000           375538          369099          

320X180         5               1350                     14000           843325          1412917         

320X180         6               1024                     17000           1326349         866771          

320X180         7               887                      20000           364347          806238          

320X180         8               412                      21000           268786          303926          

320X180         9               387                      23000           457276          280841          

320X180         10              263                      24000           55503           171382          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               533                      0               137231          68330           

320X180         2               394                      5000            455165          240825          

320X180         3               1875                     7000            1177364         1764571         

320X180         4               463                      13000           375538          369099          

320X180         5               1341                     14000           843325          1412917         

320X180         6               994                      17000           1326349         866771          

320X180         7               633                      20000           364347          806238          

320X180         8               399                      21000           268786          303926          

320X180         9               390                      23000           457276          280841          

320X180         10              261                      24000           55503           171382          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               588                      0               137231          68330           

320X180         2               398                      5000            455165          240825          

320X180         3               1879                     7000            1177364         1764571         

320X180         4               468                      13000           375538          369099          

320X180         5               1350                     14000           843325          1412917         

320X180         6               1151                     17000           1326349         866771          

320X180         7               769                      20000           364347          806238          

320X180         8               415                      21000           268786          303926          

320X180         9               390                      23000           457276          280841          

320X180         10              265                      24000           55503           171382          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               531                      0               137231          68330           

320X180         2               396                      5000            455165          240825          

320X180         3               1884                     7000            1177364         1764571         

320X180         4               468                      13000           375538          369099          

320X180         5               1353                     14000           843325          1412917         

320X180         6               997                      17000           1326349         866771          

320X180         7               638                      20000           364347          806238          

320X180         8               404                      21000           268786          303926          

320X180         9               393                      23000           457276          280841          

320X180         10              266                      24000           55503           171382          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               544                      0               137231          68330           

320X180         2               403                      5000            455165          240825          

320X180         3               1871                     7000            1177364         1764571         

320X180         4               465                      13000           375538          369099          

320X180         5               1362                     14000           843325          1412917         

320X180         6               1005                     17000           1326349         866771          

320X180         7               635                      20000           364347          806238          

320X180         8               415                      21000           268786          303926          

320X180         9               390                      23000           457276          280841          

320X180         10              262                      24000           55503           171382          

