Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               386                      0               559300          110886          

320X180         2               640                      2000            463760          310474          

320X180         3               651                      4000            446078          318425          

320X180         4               661                      6000            531405          321026          

320X180         5               680                      8000            454697          392848          

320X180         6               472                      10000           247309          215625          

320X180         7               465                      12000           358423          192253          

320X180         8               335                      14000           258195          210701          

320X180         9               836                      15000           539075          530153          

320X180         10              850                      17000           432662          430294          

320X180         11              785                      19000           464885          318016          

320X180         12              685                      21000           316642          299575          

320X180         13              568                      23000           295292          233878          

320X180         14              533                      25000           174789          227554          

320X180         15              375                      27000           127743          139108          

320X180         16              181                      29000           67966           70075           

320X180         17              423                      30000           164133          203043          

320X180         18              369                      32000           169318          170926          

320X180         19              469                      34000           217121          274763          

320X180         20              540                      36000           231042          327820          

320X180         21              578                      38000           308859          355739          

320X180         22              609                      40000           333274          421731          

320X180         23              548                      42000           231739          415862          

320X180         24              187                      44000           139301          110621          

320X180         25              506                      45000           215682          303805          

320X180         26              459                      47000           153764          302333          

320X180         27              323                      49000           60221           170246          

320X180         28              339                      51000           71315           151910          

320X180         29              449                      53000           424254          225012          

320X180         30              846                      55000           582353          737124          

320X180         31              1058                     57000           1018014         850486          

320X180         32              567                      59000           479808          497530          

320X180         33              949                      60000           1174496         585986          

320X180         34              321                      62000           101063          102345          

320X180         35              168                      64000           101748          15717           

320X180         36              174                      66000           55798           27898           

320X180         37              191                      68000           93361           23756           

320X180         38              260                      70000           255016          90655           

320X180         39              193                      72000           61761           41159           

320X180         40              102                      74000           53304           12835           

320X180         41              302                      75000           159349          61390           

320X180         42              385                      77000           185292          156807          

320X180         43              345                      79000           129017          136751          

320X180         44              299                      81000           88600           100699          

320X180         45              233                      83000           52344           58739           

320X180         46              322                      84000           211098          67844           

320X180         47              685                      86000           875946          432138          

320X180         48              694                      88000           456097          724786          

320X180         49              901                      90000           381189          989512          

320X180         50              565                      92000           275241          400778          

320X180         51              582                      94000           159211          297499          

320X180         52              566                      96000           149617          284777          

320X180         53              503                      98000           149561          229905          

320X180         54              443                      100000          226508          219386          

320X180         55              498                      102000          329765          346811          

320X180         56              256                      104000          122389          195801          

320X180         57              487                      105000          324116          292815          

320X180         58              801                      107000          376919          672362          

320X180         59              990                      108000          316309          794086          

320X180         60              723                      110000          260456          473066          

320X180         61              838                      112000          417955          506561          

320X180         62              1163                     114000          409756          653439          

320X180         63              973                      116000          347501          560404          

320X180         64              531                      118000          185232          284618          

320X180         65              882                      120000          315772          460586          

320X180         66              889                      122000          274141          452015          

320X180         67              787                      124000          256076          411151          

320X180         68              672                      126000          213985          337828          

320X180         69              567                      128000          198398          260619          

320X180         70              566                      130000          255270          283064          

320X180         71              595                      132000          216398          339834          

320X180         72              298                      134000          121182          142036          

320X180         73              788                      135000          720187          387430          

320X180         74              943                      137000          647845          853873          

320X180         75              1066                     139000          646509          732843          

320X180         76              965                      141000          436049          546204          

320X180         77              95                       143000          288             53859           

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               390                      0               559300          110886          

320X180         2               650                      2000            463760          310474          

320X180         3               642                      4000            446078          318425          

320X180         4               675                      6000            531405          321026          

320X180         5               701                      8000            454697          392848          

320X180         6               481                      10000           247309          215625          

320X180         7               478                      12000           358423          192253          

320X180         8               335                      14000           258195          210701          

320X180         9               830                      15000           539075          530153          

320X180         10              849                      17000           432662          430294          

320X180         11              790                      19000           464885          318016          

320X180         12              692                      21000           316642          299575          

320X180         13              582                      23000           295292          233878          

320X180         14              537                      25000           174789          227554          

320X180         15              367                      27000           127743          139108          

320X180         16              177                      29000           67966           70075           

320X180         17              417                      30000           164133          203043          

320X180         18              370                      32000           169318          170926          

320X180         19              476                      34000           217121          274763          

320X180         20              519                      36000           231042          327820          

320X180         21              560                      38000           308859          355739          

320X180         22              598                      40000           333274          421731          

320X180         23              535                      42000           231739          415862          

320X180         24              187                      44000           139301          110621          

320X180         25              500                      45000           215682          303805          

320X180         26              444                      47000           153764          302333          

320X180         27              321                      49000           60221           170246          

320X180         28              336                      51000           71315           151910          

320X180         29              445                      53000           424254          225012          

320X180         30              837                      55000           582353          737124          

320X180         31              1055                     57000           1018014         850486          

320X180         32              569                      59000           479808          497530          

320X180         33              967                      60000           1174496         585986          

320X180         34              319                      62000           101063          102345          

320X180         35              166                      64000           101748          15717           

320X180         36              174                      66000           55798           27898           

320X180         37              187                      68000           93361           23756           

320X180         38              262                      70000           255016          90655           

320X180         39              189                      72000           61761           41159           

320X180         40              102                      74000           53304           12835           

320X180         41              300                      75000           159349          61390           

320X180         42              395                      77000           185292          156807          

320X180         43              345                      79000           129017          136751          

320X180         44              292                      81000           88600           100699          

320X180         45              220                      83000           52344           58739           

320X180         46              317                      84000           211098          67844           

320X180         47              692                      86000           875946          432138          

320X180         48              705                      88000           456097          724786          

320X180         49              920                      90000           381189          989512          

320X180         50              572                      92000           275241          400778          

320X180         51              593                      94000           159211          297499          

320X180         52              567                      96000           149617          284777          

320X180         53              504                      98000           149561          229905          

320X180         54              444                      100000          226508          219386          

320X180         55              498                      102000          329765          346811          

320X180         56              255                      104000          122389          195801          

320X180         57              481                      105000          324116          292815          

320X180         58              789                      107000          376919          672362          

320X180         59              950                      108000          316309          794086          

320X180         60              686                      110000          260456          473066          

320X180         61              812                      112000          417955          506561          

320X180         62              1148                     114000          409756          653439          

320X180         63              962                      116000          347501          560404          

320X180         64              536                      118000          185232          284618          

320X180         65              885                      120000          315772          460586          

320X180         66              857                      122000          274141          452015          

320X180         67              771                      124000          256076          411151          

