Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               133                      0               34749           0               

320X180         2               1210                     1000            1370394         457775          

320X180         3               1845                     4000            2008230         1204547         

320X180         4               854                      7000            871293          713926          

320X180         5               1907                     8000            1592383         1801914         

320X180         6               697                      11000           485032          616682          

320X180         7               1848                     12000           1855207         1373579         

320X180         8               1983                     15000           1655071         1515781         

320X180         9               1601                     18000           1313744         1199390         

320X180         10              1560                     21000           1714160         1031156         

320X180         11              864                      24000           892156          638854          

320X180         12              1012                     26000           825613          876193          

320X180         13              1706                     27000           1312588         1021611         

320X180         14              903                      30000           758019          622853          

320X180         15              1281                     32000           958960          1011888         

320X180         16              1699                     34000           1465413         1330983         

320X180         17              1782                     37000           1664039         1105571         

320X180         18              687                      40000           735085          446070          

320X180         19              937                      41000           1048115         600751          

320X180         20              1747                     42000           1206694         1188486         

320X180         21              1728                     45000           1762060         1053658         

320X180         22              871                      48000           928168          574988          

320X180         23              1092                     50000           1059902         683536          

320X180         24              1026                     51000           710174          696452          

320X180         25              863                      53000           528277          593491          

320X180         26              1734                     55000           1414942         1007653         

320X180         27              626                      58000           806880          343387          

320X180         28              681                      59000           715076          420737          

320X180         29              792                      60000           749475          504399          

320X180         30              1371                     61000           1347645         804465          

320X180         31              1068                     63000           975676          680959          

320X180         32              735                      65000           560554          491007          

320X180         33              1800                     66000           1379116         1092206         

320X180         34              597                      69000           402662          408187          

320X180         35              555                      70000           358367          353826          

320X180         36              1638                     71000           1136366         951644          

320X180         37              1527                     74000           1142927         899635          

320X180         38              575                      77000           678286          278144          

320X180         39              1564                     78000           1525855         912848          

320X180         40              1877                     80000           1991764         1158636         

320X180         41              2541                     83000           2112576         1206684         

320X180         42              2084                     86000           2006228         1246651         

320X180         43              1169                     89000           1128067         749741          

320X180         44              1387                     91000           1595312         861428          

320X180         45              870                      93000           924539          591053          

320X180         46              952                      94000           604484          788000          

320X180         47              755                      96000           470157          465533          

320X180         48              1380                     97000           1209446         752787          

320X180         49              1568                     99000           1348802         1128968         

320X180         50              1184                     102000          287033          1089407         

320X180         51              387                      105000          76009           9887            

320X180         52              401                      108000          134186          1780            

320X180         53              260                      111000          9309            17059           

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               100                      0               34749           0               

320X180         2               1192                     1000            1370394         457775          

320X180         3               1833                     4000            2008230         1204547         

320X180         4               849                      7000            871293          713926          

320X180         5               1916                     8000            1592383         1801914         

320X180         6               704                      11000           485032          616682          

320X180         7               1843                     12000           1855207         1373579         

320X180         8               1972                     15000           1655071         1515781         

320X180         9               1611                     18000           1313744         1199390         

320X180         10              1564                     21000           1714160         1031156         

320X180         11              864                      24000           892156          638854          

320X180         12              1009                     26000           825613          876193          

320X180         13              1694                     27000           1312588         1021611         

320X180         14              890                      30000           758019          622853          

320X180         15              1275                     32000           958960          1011888         

320X180         16              1697                     34000           1465413         1330983         

320X180         17              1808                     37000           1664039         1105571         

320X180         18              690                      40000           735085          446070          

320X180         19              929                      41000           1048115         600751          

320X180         20              1756                     42000           1206694         1188486         

320X180         21              1762                     45000           1762060         1053658         

320X180         22              864                      48000           928168          574988          

320X180         23              1096                     50000           1059902         683536          

320X180         24              1007                     51000           710174          696452          

320X180         25              853                      53000           528277          593491          

320X180         26              1728                     55000           1414942         1007653         

320X180         27              616                      58000           806880          343387          

320X180         28              675                      59000           715076          420737          

320X180         29              781                      60000           749475          504399          

320X180         30              1369                     61000           1347645         804465          

320X180         31              1065                     63000           975676          680959          

320X180         32              728                      65000           560554          491007          

320X180         33              1732                     66000           1379116         1092206         

320X180         34              586                      69000           402662          408187          

320X180         35              544                      70000           358367          353826          

320X180         36              1590                     71000           1136366         951644          

320X180         37              1493                     74000           1142927         899635          

320X180         38              564                      77000           678286          278144          

320X180         39              1763                     78000           1525855         912848          

320X180         40              2032                     80000           1991764         1158636         

320X180         41              2017                     83000           2112576         1206684         

320X180         42              2073                     86000           2006228         1246651         

320X180         43              1139                     89000           1128067         749741          

320X180         44              1363                     91000           1595312         861428          

320X180         45              845                      93000           924539          591053          

320X180         46              946                      94000           604484          788000          

320X180         47              735                      96000           470157          465533          

320X180         48              1364                     97000           1209446         752787          

320X180         49              1565                     99000           1348802         1128968         

320X180         50              1188                     102000          287033          1089407         

320X180         51              353                      105000          76009           9887            

320X180         52              351                      108000          134186          1780            

320X180         53              225                      111000          9309            17059           

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               105                      0               34749           0               

320X180         2               1041                     1000            1370394         457775          

320X180         3               1670                     4000            2008230         1204547         

