Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               66                       0               11565           184             

320X180         2               1645                     1000            631308          127648          

320X180         3               2868                     5000            1019933         112642          

320X180         4               3325                     8000            1006097         145099          

320X180         5               3537                     12000           1082058         160502          

320X180         6               701                      17000           163798          27705           

320X180         7               1503                     18000           698718          88861           

320X180         8               3119                     21000           1720182         182538          

320X180         9               531                      26000           179223          26186           

320X180         10              2347                     27000           715794          119255          

320X180         11              1484                     32000           390946          68976           

320X180         12              2743                     34000           835734          143527          

320X180         13              101                      39000           33996           8082            

320X180         14              1596                     40000           342510          75859           

320X180         15              1437                     42000           439251          81592           

320X180         16              1038                     45000           327219          65806           

320X180         17              2024                     48000           464491          94588           

320X180         18              1375                     52000           294636          78590           

320X180         19              1609                     55000           360839          94836           

320X180         20              116                      58000           27053           8524            

320X180         21              349                      58000           71388           26258           

320X180         22              979                      59000           175068          43229           

320X180         23              1464                     61000           325386          72078           

320X180         24              2294                     64000           459212          116885          

320X180         25              1220                     69000           199466          55305           

320X180         26              2266                     72000           549166          151435          

320X180         27              1044                     77000           234731          61781           

320X180         28              1492                     79000           266337          75270           

320X180         29              1364                     82000           247533          47981           

320X180         30              1442                     85000           247881          62138           

320X180         31              1923                     88000           331345          75049           

320X180         32              1642                     91000           674113          101554          

320X180         33              1561                     94000           237386          79024           

320X180         34              3247                     97000           619080          142686          

320X180         35              1395                     102000          328911          91949           

320X180         36              673                      107000          257354          19777           

320X180         37              286                      111000          3351            38549           

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               59                       0               11565           184             

320X180         2               1624                     1000            631308          127648          

320X180         3               2763                     5000            1019933         112642          

320X180         4               3516                     8000            1006097         145099          

320X180         5               3546                     12000           1082058         160502          

320X180         6               697                      17000           163798          27705           

320X180         7               1490                     18000           698718          88861           

320X180         8               3120                     21000           1720182         182538          

320X180         9               518                      26000           179223          26186           

320X180         10              2314                     27000           715794          119255          

320X180         11              1470                     32000           390946          68976           

320X180         12              2712                     34000           835734          143527          

320X180         13              96                       39000           33996           8082            

320X180         14              1574                     40000           342510          75859           

320X180         15              1420                     42000           439251          81592           

320X180         16              1029                     45000           327219          65806           

320X180         17              2024                     48000           464491          94588           

320X180         18              1365                     52000           294636          78590           

320X180         19              1605                     55000           360839          94836           

320X180         20              117                      58000           27053           8524            

320X180         21              353                      58000           71388           26258           

320X180         22              994                      59000           175068          43229           

320X180         23              1473                     61000           325386          72078           

320X180         24              2314                     64000           459212          116885          

320X180         25              1236                     69000           199466          55305           

320X180         26              2288                     72000           549166          151435          

320X180         27              1030                     77000           234731          61781           

320X180         28              1480                     79000           266337          75270           

320X180         29              1355                     82000           247533          47981           

320X180         30              1415                     85000           247881          62138           

320X180         31              1904                     88000           331345          75049           

320X180         32              1628                     91000           674113          101554          

320X180         33              1534                     94000           237386          79024           

320X180         34              3227                     97000           619080          142686          

320X180         35              1399                     102000          328911          91949           

320X180         36              652                      107000          257354          19777           

320X180         37              280                      111000          3351            38549           

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               58                       0               11565           184             

320X180         2               1617                     1000            631308          127648          

320X180         3               2626                     5000            1019933         112642          

320X180         4               3609                     8000            1006097         145099          

320X180         5               3520                     12000           1082058         160502          

320X180         6               691                      17000           163798          27705           

320X180         7               1493                     18000           698718          88861           

320X180         8               3136                     21000           1720182         182538          

320X180         9               524                      26000           179223          26186           

320X180         10              2359                     27000           715794          119255          

320X180         11              1489                     32000           390946          68976           

320X180         12              2762                     34000           835734          143527          

320X180         13              98                       39000           33996           8082            

320X180         14              1594                     40000           342510          75859           

320X180         15              1441                     42000           439251          81592           

320X180         16              1038                     45000           327219          65806           

