Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               441                      0               203487          28121           

320X180         2               293                      6000            1015559         719             

320X180         3               834                      7000            889221          1150825         

320X180         4               568                      9000            491204          699464          

320X180         5               700                      10000           632340          822963          

320X180         6               689                      12000           541576          713648          

320X180         7               452                      13000           354727          514940          

320X180         8               534                      14000           474095          599533          

320X180         9               600                      16000           250803          686201          

320X180         10              1001                     17000           673341          927378          

320X180         11              680                      21000           628855          577036          

320X180         12              695                      22000           225852          793877          

320X180         13              251                      24000           380692          133370          

320X180         14              548                      25000           492996          477037          

320X180         15              287                      27000           264938          198116          

320X180         16              960                      28000           1007422         802582          

320X180         17              1352                     30000           1168786         998494          

320X180         18              687                      34000           612628          580385          

320X180         19              1292                     35000           878793          1116598         

320X180         20              157                      39000           114312          128868          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               428                      0               203487          28121           

320X180         2               301                      6000            1015559         719             

320X180         3               851                      7000            889221          1150825         

320X180         4               566                      9000            491204          699464          

320X180         5               705                      10000           632340          822963          

320X180         6               675                      12000           541576          713648          

320X180         7               435                      13000           354727          514940          

320X180         8               521                      14000           474095          599533          

320X180         9               591                      16000           250803          686201          

320X180         10              1013                     17000           673341          927378          

320X180         11              688                      21000           628855          577036          

320X180         12              698                      22000           225852          793877          

320X180         13              254                      24000           380692          133370          

320X180         14              544                      25000           492996          477037          

320X180         15              292                      27000           264938          198116          

320X180         16              955                      28000           1007422         802582          

320X180         17              1361                     30000           1168786         998494          

320X180         18              695                      34000           612628          580385          

320X180         19              1323                     35000           878793          1116598         

320X180         20              155                      39000           114312          128868          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               446                      0               203487          28121           

320X180         2               303                      6000            1015559         719             

320X180         3               852                      7000            889221          1150825         

320X180         4               567                      9000            491204          699464          

320X180         5               700                      10000           632340          822963          

320X180         6               676                      12000           541576          713648          

320X180         7               435                      13000           354727          514940          

320X180         8               528                      14000           474095          599533          

320X180         9               585                      16000           250803          686201          

320X180         10              1000                     17000           673341          927378          

320X180         11              684                      21000           628855          577036          

320X180         12              694                      22000           225852          793877          

320X180         13              252                      24000           380692          133370          

320X180         14              543                      25000           492996          477037          

320X180         15              284                      27000           264938          198116          

320X180         16              931                      28000           1007422         802582          

320X180         17              1312                     30000           1168786         998494          

320X180         18              683                      34000           612628          580385          

320X180         19              1295                     35000           878793          1116598         

320X180         20              154                      39000           114312          128868          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               427                      0               203487          28121           

320X180         2               291                      6000            1015559         719             

320X180         3               830                      7000            889221          1150825         

320X180         4               562                      9000            491204          699464          

320X180         5               749                      10000           632340          822963          

320X180         6               788                      12000           541576          713648          

320X180         7               589                      13000           354727          514940          

320X180         8               572                      14000           474095          599533          

320X180         9               596                      16000           250803          686201          

320X180         10              1012                     17000           673341          927378          

320X180         11              693                      21000           628855          577036          

320X180         12              709                      22000           225852          793877          

320X180         13              259                      24000           380692          133370          

320X180         14              544                      25000           492996          477037          

320X180         15              290                      27000           264938          198116          

320X180         16              953                      28000           1007422         802582          

320X180         17              1309                     30000           1168786         998494          

320X180         18              669                      34000           612628          580385          

320X180         19              1304                     35000           878793          1116598         

320X180         20              163                      39000           114312          128868          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               462                      0               203487          28121           

320X180         2               310                      6000            1015559         719             

320X180         3               887                      7000            889221          1150825         

320X180         4               596                      9000            491204          699464          

320X180         5               736                      10000           632340          822963          

320X180         6               701                      12000           541576          713648          

320X180         7               454                      13000           354727          514940          

320X180         8               546                      14000           474095          599533          

320X180         9               611                      16000           250803          686201          

320X180         10              1037                     17000           673341          927378          

320X180         11              709                      21000           628855          577036          

320X180         12              723                      22000           225852          793877          

320X180         13              260                      24000           380692          133370          

320X180         14              559                      25000           492996          477037          

320X180         15              297                      27000           264938          198116          

320X180         16              975                      28000           1007422         802582          

