Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               352                      0               96090           12313           

320X180         2               209                      4000            221719          868             

320X180         3               1669                     6000            1801817         1341098         

320X180         4               307                      10000           11841           386203          

320X180         5               827                      11000           827845          500494          

320X180         6               272                      16000           426733          167294          

320X180         7               602                      17000           387433          538648          

320X180         8               1939                     20000           3055171         1488939         

320X180         9               918                      25000           761460          650933          

320X180         10              33                       29000           980             3992            

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               374                      0               96090           12313           

320X180         2               224                      4000            221719          868             

320X180         3               1719                     6000            1801817         1341098         

320X180         4               305                      10000           11841           386203          

320X180         5               827                      11000           827845          500494          

320X180         6               269                      16000           426733          167294          

320X180         7               599                      17000           387433          538648          

320X180         8               1905                     20000           3055171         1488939         

320X180         9               903                      25000           761460          650933          

320X180         10              32                       29000           980             3992            

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               346                      0               96090           12313           

320X180         2               202                      4000            221719          868             

320X180         3               1636                     6000            1801817         1341098         

320X180         4               309                      10000           11841           386203          

320X180         5               820                      11000           827845          500494          

320X180         6               268                      16000           426733          167294          

320X180         7               602                      17000           387433          538648          

320X180         8               1875                     20000           3055171         1488939         

320X180         9               910                      25000           761460          650933          

320X180         10              32                       29000           980             3992            

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               367                      0               96090           12313           

320X180         2               212                      4000            221719          868             

320X180         3               1653                     6000            1801817         1341098         

320X180         4               318                      10000           11841           386203          

320X180         5               828                      11000           827845          500494          

320X180         6               273                      16000           426733          167294          

320X180         7               605                      17000           387433          538648          

320X180         8               1918                     20000           3055171         1488939         

320X180         9               908                      25000           761460          650933          

320X180         10              33                       29000           980             3992            

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               360                      0               96090           12313           

320X180         2               206                      4000            221719          868             

320X180         3               1681                     6000            1801817         1341098         

320X180         4               316                      10000           11841           386203          

320X180         5               1259                     11000           827845          500494          

320X180         6               302                      16000           426733          167294          

320X180         7               650                      17000           387433          538648          

320X180         8               1990                     20000           3055171         1488939         

320X180         9               967                      25000           761460          650933          

320X180         10              35                       29000           980             3992            

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               373                      0               96090           12313           

320X180         2               212                      4000            221719          868             

320X180         3               1688                     6000            1801817         1341098         

320X180         4               323                      10000           11841           386203          

320X180         5               821                      11000           827845          500494          

320X180         6               272                      16000           426733          167294          

320X180         7               637                      17000           387433          538648          

320X180         8               2027                     20000           3055171         1488939         

320X180         9               985                      25000           761460          650933          

320X180         10              34                       29000           980             3992            

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               386                      0               96090           12313           

320X180         2               221                      4000            221719          868             

320X180         3               1778                     6000            1801817         1341098         

320X180         4               330                      10000           11841           386203          

320X180         5               855                      11000           827845          500494          

320X180         6               267                      16000           426733          167294          

320X180         7               607                      17000           387433          538648          

320X180         8               1904                     20000           3055171         1488939         

320X180         9               917                      25000           761460          650933          

320X180         10              32                       29000           980             3992            

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               348                      0               96090           12313           

320X180         2               216                      4000            221719          868             

320X180         3               1664                     6000            1801817         1341098         

320X180         4               307                      10000           11841           386203          

320X180         5               824                      11000           827845          500494          

320X180         6               274                      16000           426733          167294          

320X180         7               601                      17000           387433          538648          

320X180         8               1912                     20000           3055171         1488939         

320X180         9               917                      25000           761460          650933          

320X180         10              31                       29000           980             3992            

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               365                      0               96090           12313           

320X180         2               209                      4000            221719          868             

320X180         3               1665                     6000            1801817         1341098         

320X180         4               310                      10000           11841           386203          

320X180         5               823                      11000           827845          500494          

320X180         6               270                      16000           426733          167294          

320X180         7               648                      17000           387433          538648          

320X180         8               1993                     20000           3055171         1488939         

320X180         9               955                      25000           761460          650933          

320X180         10              33                       29000           980             3992            

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               371                      0               96090           12313           

320X180         2               221                      4000            221719          868             

320X180         3               1762                     6000            1801817         1341098         

320X180         4               335                      10000           11841           386203          

320X180         5               885                      11000           827845          500494          

320X180         6               291                      16000           426733          167294          

320X180         7               650                      17000           387433          538648          

320X180         8               1988                     20000           3055171         1488939         

320X180         9               964                      25000           761460          650933          

320X180         10              34                       29000           980             3992            

