Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               1069                     0               1632214         582124          

320X180         2               677                      3000            911846          461434          

320X180         3               667                      5000            527703          596959          

320X180         4               460                      8000            454461          353656          

320X180         5               428                      10000           293249          403198          

320X180         6               459                      12000           451601          317821          

320X180         7               250                      14000           173344          265306          

320X180         8               563                      16000           792472          448024          

320X180         9               358                      18000           86966           604136          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               1051                     0               1632214         582124          

320X180         2               676                      3000            911846          461434          

320X180         3               682                      5000            527703          596959          

320X180         4               460                      8000            454461          353656          

320X180         5               424                      10000           293249          403198          

320X180         6               449                      12000           451601          317821          

320X180         7               252                      14000           173344          265306          

320X180         8               560                      16000           792472          448024          

320X180         9               365                      18000           86966           604136          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               1303                     0               1632214         582124          

320X180         2               870                      3000            911846          461434          

320X180         3               696                      5000            527703          596959          

320X180         4               487                      8000            454461          353656          

320X180         5               453                      10000           293249          403198          

320X180         6               476                      12000           451601          317821          

320X180         7               261                      14000           173344          265306          

320X180         8               593                      16000           792472          448024          

320X180         9               383                      18000           86966           604136          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               1129                     0               1632214         582124          

320X180         2               731                      3000            911846          461434          

320X180         3               707                      5000            527703          596959          

320X180         4               481                      8000            454461          353656          

320X180         5               446                      10000           293249          403198          

320X180         6               472                      12000           451601          317821          

320X180         7               256                      14000           173344          265306          

320X180         8               576                      16000           792472          448024          

320X180         9               377                      18000           86966           604136          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               1079                     0               1632214         582124          

320X180         2               685                      3000            911846          461434          

320X180         3               670                      5000            527703          596959          

320X180         4               463                      8000            454461          353656          

320X180         5               431                      10000           293249          403198          

320X180         6               455                      12000           451601          317821          

320X180         7               249                      14000           173344          265306          

320X180         8               561                      16000           792472          448024          

320X180         9               358                      18000           86966           604136          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               1061                     0               1632214         582124          

320X180         2               679                      3000            911846          461434          

320X180         3               700                      5000            527703          596959          

320X180         4               482                      8000            454461          353656          

320X180         5               451                      10000           293249          403198          

320X180         6               470                      12000           451601          317821          

320X180         7               258                      14000           173344          265306          

320X180         8               587                      16000           792472          448024          

320X180         9               375                      18000           86966           604136          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               1098                     0               1632214         582124          

320X180         2               696                      3000            911846          461434          

320X180         3               693                      5000            527703          596959          

320X180         4               479                      8000            454461          353656          

320X180         5               443                      10000           293249          403198          

320X180         6               469                      12000           451601          317821          

320X180         7               250                      14000           173344          265306          

320X180         8               560                      16000           792472          448024          

320X180         9               364                      18000           86966           604136          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               1064                     0               1632214         582124          

320X180         2               677                      3000            911846          461434          

320X180         3               675                      5000            527703          596959          

320X180         4               477                      8000            454461          353656          

320X180         5               443                      10000           293249          403198          

320X180         6               470                      12000           451601          317821          

320X180         7               256                      14000           173344          265306          

320X180         8               565                      16000           792472          448024          

320X180         9               362                      18000           86966           604136          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               1061                     0               1632214         582124          

320X180         2               685                      3000            911846          461434          

320X180         3               693                      5000            527703          596959          

320X180         4               484                      8000            454461          353656          

320X180         5               454                      10000           293249          403198          

320X180         6               472                      12000           451601          317821          

320X180         7               255                      14000           173344          265306          

320X180         8               566                      16000           792472          448024          

320X180         9               358                      18000           86966           604136          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               1115                     0               1632214         582124          

320X180         2               722                      3000            911846          461434          

320X180         3               683                      5000            527703          596959          

320X180         4               478                      8000            454461          353656          

320X180         5               429                      10000           293249          403198          

320X180         6               446                      12000           451601          317821          

320X180         7               246                      14000           173344          265306          

320X180         8               567                      16000           792472          448024          

320X180         9               368                      18000           86966           604136          

