Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               465                      0               466037          112875          

320X180         2               687                      3000            697814          416422          

320X180         3               1685                     5000            2037389         1503959         

320X180         4               1292                     8000            1285648         1429538         

320X180         5               1298                     10000           1227666         1368859         

320X180         6               1559                     12000           1645516         1314568         

320X180         7               1252                     15000           1068248         1109747         

320X180         8               830                      18000           757438          624343          

320X180         9               1283                     20000           1100554         912789          

320X180         10              891                      23000           648771          600743          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               450                      0               466037          112875          

320X180         2               676                      3000            697814          416422          

320X180         3               1693                     5000            2037389         1503959         

320X180         4               1265                     8000            1285648         1429538         

320X180         5               1255                     10000           1227666         1368859         

320X180         6               1562                     12000           1645516         1314568         

320X180         7               1261                     15000           1068248         1109747         

320X180         8               819                      18000           757438          624343          

320X180         9               1229                     20000           1100554         912789          

320X180         10              874                      23000           648771          600743          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               449                      0               466037          112875          

320X180         2               669                      3000            697814          416422          

320X180         3               1645                     5000            2037389         1503959         

320X180         4               1250                     8000            1285648         1429538         

320X180         5               1270                     10000           1227666         1368859         

320X180         6               1534                     12000           1645516         1314568         

320X180         7               1273                     15000           1068248         1109747         

320X180         8               819                      18000           757438          624343          

320X180         9               1243                     20000           1100554         912789          

320X180         10              876                      23000           648771          600743          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               448                      0               466037          112875          

320X180         2               690                      3000            697814          416422          

320X180         3               1655                     5000            2037389         1503959         

320X180         4               1253                     8000            1285648         1429538         

320X180         5               1279                     10000           1227666         1368859         

320X180         6               1534                     12000           1645516         1314568         

320X180         7               1241                     15000           1068248         1109747         

320X180         8               837                      18000           757438          624343          

320X180         9               1995                     20000           1100554         912789          

320X180         10              925                      23000           648771          600743          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               483                      0               466037          112875          

320X180         2               744                      3000            697814          416422          

320X180         3               1799                     5000            2037389         1503959         

320X180         4               1324                     8000            1285648         1429538         

320X180         5               1382                     10000           1227666         1368859         

320X180         6               1626                     12000           1645516         1314568         

320X180         7               1248                     15000           1068248         1109747         

320X180         8               801                      18000           757438          624343          

320X180         9               1233                     20000           1100554         912789          

320X180         10              876                      23000           648771          600743          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               452                      0               466037          112875          

320X180         2               688                      3000            697814          416422          

320X180         3               1666                     5000            2037389         1503959         

320X180         4               1346                     8000            1285648         1429538         

320X180         5               1380                     10000           1227666         1368859         

320X180         6               1611                     12000           1645516         1314568         

320X180         7               1275                     15000           1068248         1109747         

320X180         8               843                      18000           757438          624343          

320X180         9               1283                     20000           1100554         912789          

320X180         10              917                      23000           648771          600743          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               485                      0               466037          112875          

320X180         2               709                      3000            697814          416422          

320X180         3               1724                     5000            2037389         1503959         

320X180         4               1305                     8000            1285648         1429538         

320X180         5               1306                     10000           1227666         1368859         

320X180         6               1532                     12000           1645516         1314568         

320X180         7               1275                     15000           1068248         1109747         

320X180         8               854                      18000           757438          624343          

320X180         9               1335                     20000           1100554         912789          

320X180         10              894                      23000           648771          600743          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               451                      0               466037          112875          

320X180         2               681                      3000            697814          416422          

320X180         3               1675                     5000            2037389         1503959         

320X180         4               1255                     8000            1285648         1429538         

320X180         5               1281                     10000           1227666         1368859         

320X180         6               1563                     12000           1645516         1314568         

320X180         7               1240                     15000           1068248         1109747         

320X180         8               845                      18000           757438          624343          

320X180         9               1270                     20000           1100554         912789          

320X180         10              916                      23000           648771          600743          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               465                      0               466037          112875          

320X180         2               713                      3000            697814          416422          

320X180         3               1709                     5000            2037389         1503959         

320X180         4               1308                     8000            1285648         1429538         

320X180         5               1324                     10000           1227666         1368859         

320X180         6               1598                     12000           1645516         1314568         

320X180         7               1267                     15000           1068248         1109747         

320X180         8               845                      18000           757438          624343          

320X180         9               1527                     20000           1100554         912789          

320X180         10              915                      23000           648771          600743          

Resolution      GOP#            TranscodingTime          Pts             InputSize       outputSize      

320X180         1               478                      0               466037          112875          

320X180         2               718                      3000            697814          416422          

320X180         3               1767                     5000            2037389         1503959         

320X180         4               1331                     8000            1285648         1429538         

320X180         5               1379                     10000           1227666         1368859         

320X180         6               1606                     12000           1645516         1314568         

320X180         7               1242                     15000           1068248         1109747         

320X180         8               803                      18000           757438          624343          

320X180         9               1264                     20000           1100554         912789          

320X180         10              878                      23000           648771          600743          

